Country,Score,Social support,Freedom to make life choices,Generosity,Trust,Population,Land_Area,Support_Ratio,Urbanization,Get_Median_Age,Life_Expectancy,Fertility_Rate,Hospital_Bed_Density,Access_To_Clean_Water,Obesity_Rate,School_Life_Expectancy,GDP,GDP_per_capita,Unemployment_Rate,Electrification_Rate,Population Density
Kyrgyzstan,5.004,1.3940000000000001,0.455,0.429,0.039,5789122.0,191801.0,15.1,0.36,26.5,70.9,2.61,4.8,0.9,0.166,13.0,22640000000.0,3700.0,0.07400000000000001,1.0,30.182960464231158
Latvia,5.85,1.405,0.326,0.153,0.07400000000000001,1944643.0,62249.0,3.4,0.674,43.6,74.7,1.51,5.9,0.993,0.23600000000000002,16.0,53470000000.0,27300.0,0.09,1.0,31.23974682324214
Lebanon,5.225,1.13,0.289,0.264,0.038,6229794.0,10230.0,8.3,0.88,30.5,77.8,1.72,3.5,0.99,0.32,11.0,87890000000.0,19500.0,0.11209790209790203,1.0,608.9730205278593
Liberia,3.533,0.872,0.33299999999999996,0.267,0.039,4689021.0,96320.0,18.1,0.505,17.8,63.3,5.06,0.8,0.7559999999999999,0.099,13.572519083969466,3906000000.0,900.0,0.027999999999999997,0.1,48.68169642857143
Libya,5.525,1.358,0.466,0.152,0.09300000000000001,6653210.0,1759540.0,15.5,0.79,28.9,76.7,2.04,3.7,0.544,0.325,13.572519083969466,63140000000.0,9800.0,0.3,0.998,3.781221228275572
Lithuania,5.902,1.474,0.23399999999999999,0.01,0.012,2823859.0,62680.0,3.6,0.665,43.7,75.0,1.59,7.0,0.966,0.263,17.0,90630000000.0,31900.0,0.07,1.0,45.051994256541164
Luxembourg,6.8629999999999995,1.4580000000000002,0.597,0.28300000000000003,0.319,594130.0,2586.0,5.0,0.907,39.3,82.3,1.62,5.4,1.0,0.226,14.0,64390000000.0,109100.0,0.059000000000000004,1.0,229.74864655839133
Macedonia,5.175,1.208,0.326,0.254,0.06,2103721.0,25433.0,5.6,0.573,37.9,76.4,1.6,4.5,0.9940000000000001,0.22399999999999998,13.0,31550000000.0,15200.0,0.23399999999999999,1.0,82.71619549404318
Madagascar,3.6439999999999997,0.9129999999999999,0.18899999999999997,0.209,0.067,25054161.0,581540.0,19.6,0.364,19.7,66.3,4.03,0.2,0.515,0.053,11.0,39810000000.0,1600.0,0.021,0.15,43.08243800942326
Malawi,3.97,0.513,0.467,0.287,0.073,19196246.0,94080.0,17.4,0.166,16.5,61.7,5.49,1.3,0.902,0.057999999999999996,11.0,22470000000.0,1200.0,0.204,0.09,204.04173044217688
Malaysia,6.084,1.285,0.402,0.41700000000000004,0.066,31381992.0,328657.0,11.8,0.76,28.5,75.2,2.5,1.9,0.982,0.156,13.0,926100000000.0,28900.0,0.034,0.995,95.48554267823293
Mali,4.19,1.281,0.307,0.183,0.105,17885245.0,1220190.0,19.5,0.414,15.8,60.3,6.01,0.1,0.77,0.086,8.0,40980000000.0,2200.0,0.081,0.26,14.657754120259959
Malta,6.527,1.4880000000000002,0.589,0.575,0.153,416338.0,316.0,3.7,0.956,41.8,80.5,1.55,4.8,1.0,0.289,15.0,18530000000.0,42500.0,0.044000000000000004,1.0,1317.5253164556962
Mauritania,4.292,1.272,0.096,0.20199999999999999,0.13699999999999998,3758571.0,1030700.0,18.3,0.61,20.5,63.4,3.86,0.4,0.579,0.127,9.0,17370000000.0,4500.0,0.11699999999999999,0.28,3.646619772969826
Mauritius,5.629,1.21,0.491,0.361,0.042,1356388.0,2030.0,7.1,0.39399999999999996,35.3,75.8,1.75,3.4,0.9990000000000001,0.10800000000000001,15.0,27440000000.0,21600.0,0.069,1.0,668.1714285714286
Mexico,6.577999999999999,1.2109999999999999,0.413,0.121,0.133,124574795.0,1943945.0,10.2,0.7979999999999999,28.3,76.1,2.24,1.5,0.961,0.289,13.0,2406000000.0,19500.0,0.036000000000000004,0.99,64.08349773270335
